Date,Open,High,Low,Close,Change,Change%,Volume('000 shares)
2019/5/13,11.65,11.65,11.4,11.5,-0.15,-1.3,1384.868
2019/5/14,11.4,11.55,11.3,11.55,0.05,0.43,975.235
2019/5/15,11.55,11.65,11.5,11.65,0.1,0.86,1270.549
2019/5/16,11.6,11.6,11.5,11.5,-0.15,-1.3,746.193
2019/5/17,11.55,11.55,11.35,11.45,-0.05,-0.44,1828.389
2019/5/20,11.5,11.6,11.45,11.5,0.05,0.43,807.176
2019/5/21,11.5,11.6,11.45,11.5,0,0,532.993
2019/5/22,11.5,11.6,11.5,11.55,0.05,0.43,482.776
2019/5/23,11.55,11.55,11.4,11.45,-0.1,-0.87,689.09
2019/5/24,11.55,11.65,11.5,11.6,0.15,1.29,905.018
2019/5/27,11.6,11.7,11.55,11.6,0,0,1141.859
2019/5/28,11.65,11.7,11.6,11.7,0.1,0.85,1684.131
2019/5/29,11.65,11.65,11.6,11.65,-0.05,-0.43,500.793
2019/5/30,11.65,11.75,11.6,11.75,0.1,0.85,719.251
2019/5/31,11.7,11.8,11.65,11.8,0.05,0.42,618.252
2019/6/3,11.7,11.75,11.6,11.75,-0.05,-0.43,887.853
2019/6/4,11.75,11.75,11.65,11.75,0,0,512.643
2019/6/5,11.8,11.8,11.7,11.75,0,0,480.165
2019/6/6,11.75,11.75,11.6,11.6,-0.15,-1.29,673.641
2019/6/10,11.65,11.75,11.65,11.7,0.1,0.85,206.008
2019/6/11,11.7,11.75,11.65,11.75,0.05,0.43,347.075
2019/6/12,11.7,11.7,11.65,11.7,-0.05,-0.43,517.482
2019/6/13,11.7,11.75,11.65,11.75,0.05,0.43,544.187
2019/6/14,11.7,11.7,11.65,11.65,-0.1,-0.86,448.999
2019/6/17,11.7,11.7,11.6,11.65,0,0,729.042
2019/6/18,11.65,11.7,11.6,11.65,0,0,572.954
2019/6/19,11.7,11.8,11.6,11.75,0.1,0.85,1667.495
2019/6/20,11.75,11.95,11.75,11.9,0.15,1.26,2333.615
2019/6/21,11.9,11.95,11.75,11.75,-0.15,-1.28,1383.015
2019/6/24,11.75,11.85,11.75,11.8,0.05,0.42,1047.802
2019/6/25,11.8,11.9,11.8,11.8,0,0,1031.6
2019/6/26,11.8,11.9,11.8,11.9,0.1,0.84,1130.02
2019/6/27,11.95,11.95,11.85,11.9,0,0,1399.392
2019/6/28,11.9,11.95,11.85,11.9,0,0,1321.43
2019/7/1,11.95,12,11.9,11.95,0.05,0.42,2129.32
